,Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
27062,27162,I am a developer by profession,Yes,26.0,18,Monthly,47000.0,18696.0,Taiwan,New Taiwan dollar,TWD,MySQL;Redis;SQLite,MariaDB;MySQL;Redis;SQLite,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Slightly dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;C#;Go;Java;JavaScript;PHP;SQL;Swift;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;Swift;TypeScript,.NET Core;Node.js;React Native,Node.js;React Native,"Github;Gitlab;Google Suite (Docs, Meet, etc)","Github;Gitlab;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,MacOS,"1,000 to 4,999 employees",Docker;Google Cloud Platform;iOS;Kubernetes,Docker;Google Cloud Platform;iOS;Linux,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Express;Laravel;React.js,Express;Laravel;React.js,Just as welcome now as I felt last year,40.0,7,5
28592,28699,I am a developer by profession,Yes,25.0,15,,,,Taiwan,New Taiwan dollar,TWD,MySQL,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Product manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",East Asian,Man,Specific department or team I’d be working on;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,C#;HTML/CSS;Python;SQL;TypeScript,C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,.NET Core;React Native;Teraform,.NET Core;React Native;Teraform,Github,Confluence;Jira;Github;Slack,No,Extremely important,Fairly important,Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,Onboarding? What onboarding?,Yes,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",Android;AWS;iOS;Linux,Android;AWS;iOS;Linux,,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET Core;React.js,ASP.NET Core;React.js,Just as welcome now as I felt last year,80.0,10,2
28893,29002,I am a developer by profession,Yes,25.0,18,Yearly,1050000.0,34799.0,Taiwan,New Taiwan dollar,TWD,MongoDB;MySQL;PostgreSQL;Redis,Firebase;MongoDB;MySQL;Redis;SQLite,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,"Man;Non-binary, genderqueer, or gender non-conforming",Diversity of the company or organization;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript;Python;Rust;TypeScript,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;SQL,Flutter;Node.js;React Native,Node.js,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Very important,Better compensation;Trouble with leadership at my company;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,Yes,Often: 1-2 days per week or more,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,20 to 99 employees,AWS;Google Cloud Platform;Linux;Slack Apps and Integrations,AWS;Google Cloud Platform;Microsoft Azure,I have little or no influence,Straight / Heterosexual;Queer,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,Yes,"Information systems, information technology, or system administration",Django;Express;Gatsby;React.js;Vue.js,Express;React.js;Vue.js,Just as welcome now as I felt last year,60.0,7,3
30070,30185,I am a developer by profession,Yes,33.0,13,Yearly,120000.0,3977.0,Taiwan,New Taiwan dollar,TWD,Couchbase;MongoDB,Microsoft SQL Server;Redis,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Opportunities for professional development;Family friendliness,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Python,C#;HTML/CSS;SQL;TypeScript,.NET;.NET Core;Hadoop;Node.js,.NET;.NET Core;Hadoop;Node.js,Github;Microsoft Teams,Github;Microsoft Teams,Yes,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,No,No,Often: 1-2 days per week or more,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,20 to 99 employees,Linux,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;React.js;Vue.js,Angular,Somewhat more welcome now than last year,50.0,13,9
30189,30306,I am a developer by profession,Yes,31.0,20,Yearly,1500000.0,49712.0,Taiwan,New Taiwan dollar,TWD,,Firebase;SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Industry that I’d be working in;Diversity of the company or organization;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Flutter;Node.js;TensorFlow,,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Not sure,Somewhat important,Very important,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Call a coworker or friend;Visit Stack Overflow,MacOS,100 to 499 employees,Android;Docker;Google Cloud Platform,Android,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,Django,Just as welcome now as I felt last year,42.0,10,6
30379,30496,I am a developer by profession,No,37.0,9,Yearly,860000.0,28502.0,Taiwan,New Taiwan dollar,TWD,Firebase;MongoDB;SQLite,Firebase;MongoDB;MySQL;SQLite,"Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Office environment or company culture;Opportunities for professional development;Family friendliness,Very dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,.NET;Node.js;TensorFlow,Node.js,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Not sure,Neutral,Critically important,Having a bad day (or week or month) at work;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,No,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Android;AWS;Linux;Windows,Android;AWS;Google Cloud Platform;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;jQuery,Django;Express;jQuery;React.js,Just as welcome now as I felt last year,40.0,28,11
30478,30595,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,39.0,20,Yearly,1800000.0,59655.0,Taiwan,New Taiwan dollar,TWD,MySQL,MySQL,"Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Engineer, data;Engineer, site reliability;Senior executive/VP;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very dissatisfied,I am not interested in new job opportunities,Java;SQL;Swift,Bash/Shell/PowerShell;HTML/CSS;Java;SQL,,,Github;Gitlab,Slack;Trello,No,Somewhat important,Very important,Better compensation;Better work/life balance;Growth or leadership opportunities,"Read other media like news articles, founder profiles, etc. about the company",Once a decade,Yes,No,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have emailed me,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Do other work and come back later,MacOS,20 to 99 employees,Android;AWS;iOS;Linux;MacOS;Raspberry Pi;Windows,AWS;Linux;MacOS;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,40.0,19,8
30481,30598,I am a developer by profession,Yes,29.0,19,Yearly,650000.0,21542.0,Taiwan,New Taiwan dollar,TWD,Firebase,Firebase;Microsoft SQL Server,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Kotlin;TypeScript,Dart;Java;Kotlin;SQL;TypeScript,Flutter;Node.js,Flutter;Node.js,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Better compensation;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,No,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity,MacOS,100 to 499 employees,Android;iOS,Android;iOS,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Angular,Angular,Just as welcome now as I felt last year,40.0,10,5
32171,32291,I am a student who is learning to code,Yes,30.0,28,,,,Taiwan,,,,PostgreSQL,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,White or of European descent,Man,Remote work options;Office environment or company culture;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",JavaScript,HTML/CSS;Python;Ruby;SQL,,,,Github;Slack;Microsoft Azure,,,,,,Every few months,,,Yes,,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Linux-based,,Linux,Linux,,Straight / Heterosexual,,,,,Easy,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Ruby on Rails;Vue.js,Django,,,2,
32329,32449,I code primarily as a hobby,Yes,20.0,15,,,,Taiwan,,,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,,"Associate degree (A.A., A.S., etc.)",Student,,Man,,,,Assembly;Bash/Shell/PowerShell;C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;Swift,HTML/CSS;Java;JavaScript;PHP;Python;Ruby,Ansible;Chef;Flutter;Keras;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch;Unity 3D;Unreal Engine,Keras;Node.js;Pandas;TensorFlow,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",,,,,,Once a year,Not sure,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,,Android;Arduino;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations;Windows,Linux;MacOS;Slack Apps and Integrations;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Django;Express;Flask;Laravel;React.js;Ruby on Rails;Spring;Vue.js,Django;Laravel;React.js;Ruby on Rails;Vue.js,Just as welcome now as I felt last year,,4,
33635,33758,I am a developer by profession,Yes,,14,Monthly,,,Taiwan,New Taiwan dollar,TWD,,,Data scientist or machine learning specialist;Scientist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Diversity of the company or organization;Flex time or a flexible schedule;Remote work options,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C++;Python,C++;Python,Keras;Pandas;TensorFlow;Torch/PyTorch,Keras;TensorFlow;Torch/PyTorch,Confluence;Github;Microsoft Teams;Stack Overflow for Teams,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Somewhat important,Somewhat important,Having a bad day (or week or month) at work;Better compensation;Trouble with my teammates;Trouble with leadership at my company;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Linux-based,"10,000 or more employees",Docker;Linux;MacOS,Linux;MacOS;Windows,I have little or no influence,,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Difficult,Too long,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,,5,1
33689,33812,I am a developer by profession,Yes,31.0,15,Monthly,1500000.0,596544.0,Taiwan,New Taiwan dollar,TWD,SQLite,SQLite,"Developer, desktop or enterprise applications;DevOps specialist;Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;JavaScript;Python;TypeScript,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;Kotlin;Python;SQL,Node.js,,Microsoft Teams,"Confluence;Jira;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Very important,Just because;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better work/life balance;Growth or leadership opportunities,Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company,Once a year,Yes,Onboarding? What onboarding?,No,Never,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Docker;Windows,MacOS;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,8.0,17,7
33770,33893,I am a developer by profession,No,30.0,19,Yearly,1960000.0,64958.0,Taiwan,New Taiwan dollar,TWD,,MongoDB;MySQL;Redis,"Developer, full-stack;DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;Python;TypeScript,Bash/Shell/PowerShell;C;C++;Go;Python;TypeScript,Ansible,Ansible,Gitlab;Slack,Jira;Gitlab;Slack,No,Somewhat important,Very important,Just because;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,No,No,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,100 to 499 employees,Docker,Docker;Linux,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,Express;React.js,Just as welcome now as I felt last year,40.0,10,4
34639,34765,"I am not primarily a developer, but I write code sometimes as part of my work",No,26.0,12,Monthly,52000.0,20676.0,Taiwan,New Taiwan dollar,TWD,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,IBM DB2,"Developer, back-end;Developer, front-end;Developer, QA or test;Product manager;System administrator",Some college/university study without earning a degree,Employed full-time,East Asian,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,I am actively looking for a job,Go;PHP;Python,HTML/CSS;Java;JavaScript;SQL,.NET;.NET Core;Hadoop;Node.js;TensorFlow,,Github;Gitlab,"Google Suite (Docs, Meet, etc)",No,Somewhat important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Trouble with my direct manager;Trouble with leadership at my company,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,Not sure,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,10 to 19 employees,Android;Docker;Google Cloud Platform;iOS;Linux,Windows;WordPress,I have little or no influence,,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js;Spring;Vue.js,jQuery,Somewhat more welcome now than last year,56.0,3,2
34649,34775,I am a developer by profession,No,,15,Monthly,,,Taiwan,New Taiwan dollar,TWD,Microsoft SQL Server;MongoDB;MySQL;Oracle,Microsoft SQL Server;MySQL;Oracle,"Academic researcher;Data scientist or machine learning specialist;Designer;Developer, full-stack;DevOps specialist;Educator;Engineering manager;Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Remote work options;Office environment or company culture;Opportunities for professional development,Slightly satisfied,I am actively looking for a job,C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;Python;SQL,.NET;.NET Core;Keras;Node.js;TensorFlow,.NET;.NET Core;Keras;TensorFlow,"Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)","Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Critically important,Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,20 to 99 employees,AWS;Docker;Google Cloud Platform;Linux;Windows;WordPress,Docker;Google Cloud Platform;Linux;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,I never declared a major,ASP.NET;ASP.NET Core;Django;Flask;jQuery;Laravel;React.js;Vue.js,ASP.NET;ASP.NET Core;jQuery,A lot more welcome now than last year,48.0,30,15
34671,34797,I am a developer by profession,Yes,30.0,12,Monthly,51500.0,20484.0,Taiwan,New Taiwan dollar,TWD,MySQL;PostgreSQL;SQLite,SQLite,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;SQL,C++;SQL,Unity 3D;Unreal Engine,,Github,,No,Somewhat important,Critically important,Having a bad day (or week or month) at work;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Yes,Yes,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,100 to 499 employees,Linux;Windows,Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Too long,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,48.0,18,4
34852,34979,I am a developer by profession,Yes,35.0,15,Yearly,2000000.0,66283.0,Taiwan,New Taiwan dollar,TWD,Redis;SQLite,Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile;DevOps specialist;Engineering manager;Product manager;Senior executive/VP","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Java;JavaScript,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Node.js,Ansible;Chef;Node.js;Puppet,"Confluence;Jira;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",,,Critically important,Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,500 to 999 employees,Android;Kubernetes;Linux;Raspberry Pi,Android;Linux;MacOS;Raspberry Pi;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular.js;jQuery;Spring,Angular.js;jQuery;Spring,Just as welcome now as I felt last year,20.0,20,10
36519,36753,I am a developer by profession,Yes,,18,Monthly,15.0,0.0,Taiwan,New Taiwan dollar,TWD,Couchbase;DynamoDB;MariaDB,Cassandra;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, QA or test;DevOps specialist;Engineer, site reliability;Engineering manager;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,,,Neither satisfied nor dissatisfied,,Haskell;Julia;Kotlin;Rust,Go;Java;JavaScript;Python;Scala;SQL,Apache Spark;Node.js,.NET;Node.js,"Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,,,Every few months,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games;Call a coworker or friend;Visit Stack Overflow;Do other work and come back later;Visit another developer community (please name):,MacOS,,Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,Docker;Heroku;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations,,,Yes,"No, not really",Less than once per month or monthly,Less than once per month or monthly,,,,Web development or web design,,,Not applicable - I did not use Stack Overflow last year,35.0,10,5
